state,date,gdp,gdp_growth_rate,unemployment_rate,edu_attainment
"Oregon","2015","191864.2","5.6","5.6","29.62",
"Pennsylvania","2015","682527","2.4","5.29","27.55",
"Rhode Island","2015","52957.8","1.8","5.99","30.03",
"South Carolina","2015","190294.1","3.7","5.98","24.48",
"South Dakota","2015","45371.8","2.1","3.1","25.15",
"Tennessee","2015","302970.2","3.9","5.63","23.64",
"Texas","2015","1595969.5","5.1","4.44","25.58",
"Utah","2015","141602","3.9","3.63","27.7",
"Vermont","2015","28876.6","1.3","3.56","33.92",
"Virginia","2015","455830","2","4.46","33.81",
"Washington","2015","446628.3","4.7","5.64","31.34",
"West Virginia","2015","70332.7","0.9","6.74","18.3",
"Wisconsin","2015","288260.1","2.2","4.55","26.24",
"Wyoming","2015","39899","3.1","4.32","23.4",
"Alabama","2016","191523.4","1.1","5.83","22.53",
"Alaska","2016","53289","-1.3","6.86","26.57",
"Arizona","2016","291259.6","3.3","5.35","26.21",
"Arkansas","2016","113490.4","0.5","3.96","20.52",
"California","2016","2519133.6","3.4","5.47","29.97",
"Colorado","2016","315793","2.2","3.28","36.37",
"Connecticut","2016","245966.1","0.3","5.14","35.68",
"Delaware","2016","62889","-5.5","4.52","28.55",
"District of Columbia","2016","119420.2","2.1","6.11","52.1",
"Florida","2016","870963.2","3.4","4.79","26.5",
"Georgia","2016","500909.3","3.4","5.37","27.73",
"Hawaii","2016","79093.5","2.5","2.95","29.34",
"Idaho","2016","65643.2","3.8","3.78","24.85",
"Illinois","2016","746370","-0.2","5.81","31.52",
"Indiana","2016","316545.6","1.5","4.43","23.53",
"Iowa","2016","169488.8","-0.6","3.62","26.06",
"Kansas","2016","152511.5","3.1","4.04","29.72",
"Kentucky","2016","183454.9","0.5","5.12","21.56",
"Louisiana","2016","225361.8","-2.2","6.07","21.38",
"Maine","2016","55088.1","2.2","3.78","28.14",
"Maryland","2016","359987.5","3.1","4.45","36.36",
"Massachusetts","2016","479184.9","1.5","3.87","39.44",
"Michigan","2016","451025.9","2","4.98","25.96",
"Minnesota","2016","321980","1.6","3.86","32.24",
"Mississippi","2016","100412.1","0.4","5.79","19.57",
"Missouri","2016","276210.9","0","4.55","26.19",
"Montana","2016","44580.7","-1","4.15","28.19",
"Nebraska","2016","111611.7","0.8","3.07","28.59",
"Nevada","2016","138638.9","2.8","5.7","21.48",
"New Hampshire","2016","73022.7","2.2","2.85","34.1",
"New Jersey","2016","540380.3","1","4.97","36.07",
"New Mexico","2016","91713.9","0","6.59","24.56",
"New York","2016","1397723.7","1.9","4.85","33.32",
